Assault,Burglary,Larceny,Murder,Property_Crime,Rape,Robbery,Vehicle_Theft,Violent_Crime,Year
1023201,2460526,918.8,18208,11558475,96153,498534,2891.8,1636096,1997
976583,2332735,863.2,16974,10951827,93144,447186,2729.5,1533887,1998
911740,2100739,770.4,15522,10208334,89411,409371,2550.7,1426044,1999
911706,2050992,728.8,15586,10182584,90178,408016,2477.3,1425486,2000
909023,2116531,741.8,16037,10437189,90863,423557,2485.7,1439480,2001
891407,2151252,747,16229,10455277,95235,420806,2450.7,1423677,2002
859030,2154834,741,16528,10442862,93883,414235,2416.5,1383676,2003
847381,2144446,730.3,16148,10319386,95089,401470,2362.3,1360088,2004
862220,2155448,726.9,16740,10174754,94347,417438,2287.8,1390745,2005
874096,2194993,733.1,17309,10019601,94472,449246,2213.2,1435123,2006
866358,2190198,726.1,17128,9882212,92160,447324,2185.4,1422970,2007
843683,2228887,733,16465,9774152,90750,443563,2166.1,1394461,2008
812514,2203313,717.7,15399,9337060,89241,408742,2064.5,1325896,2009
781844,2168459,701,14722,9112625,85593,369089,2005.8,1251248,2010
752423,2185140,701.3,14661,9052743,84175,354746,1974.1,1206005,2011
762009,2109932,672.2,14856,9001992,85141,355051,1965.4,1217057,2012
726777,1932139,610.5,14319,8651892,82109,345093,1901.9,1168298,2013
731089,1713153,537.2,14164,8209010,84864,322905,1821.5,1153022,2014
764057,1587564,494.7,15883,8024115,91261,328109,1783.6,1199310,2015
803007,1515096,468.9,17250,7919035,95730,332198,1745,1248185,2016